molecule_chembl_id,standard_type,standard_units,IC50,type,units,value,canonical_smiles,pIC50
CHEMBL1242475,IC50,nM,571.0,IC50,uM,0.571,Nc1ncnc2c1c(-c1ccc3[nH]ncc3c1)nn2C1CCCC1,6.243363891754152
CHEMBL1242476,IC50,nM,207.0,IC50,uM,0.207,CC(C)n1nc(-c2ccc3c(N)n[nH]c3c2)c2c(N)ncnc21,6.684029654543083
CHEMBL1242477,IC50,nM,2500.0,IC50,uM,2.5,CC(C)n1nc(-c2ccc3cn[nH]c3c2)c2c(N)ncnc21,5.6020599913279625
CHEMBL1242572,IC50,nM,760.0,IC50,uM,0.76,Nc1ncnc2c1c(-c1ccc3cn[nH]c3c1)nn2C1CCCC1,6.119186407719209
CHEMBL1242573,IC50,nM,1200.0,IC50,uM,1.2,CC(C)n1nc(-c2cc(F)c3cn[nH]c3c2)c2c(N)ncnc21,5.920818753952375
CHEMBL1240566,IC50,nM,2900.0,IC50,uM,2.9,Cn1nc(-c2ccc3cc[nH]c3c2)c2c(N)ncnc21,5.5376020021010435
CHEMBL1242574,IC50,nM,220.0,IC50,uM,0.22,CC(C)n1nc(-c2ccc3cc[nH]c3c2)c2c(N)ncnc21,6.657577319177793
CHEMBL1242664,IC50,nM,85.0,IC50,uM,0.085,Nc1ncnc2c1c(-c1ccc3cc[nH]c3c1)nn2C1CCCC1,7.070581074285707
CHEMBL1242665,IC50,nM,45000.0,IC50,uM,45.0,CC(C)n1nc(-c2ccn3ccnc3c2)c2c(N)ncnc21,4.346787486224656
CHEMBL1242666,IC50,nM,638.0,IC50,uM,0.638,CC(C)n1nc(-c2ccc3c(C=O)c[nH]c3c2)c2c(N)ncnc21,6.195179321278838
CHEMBL1242757,IC50,nM,4600.0,IC50,uM,4.6,CC(C)n1nc(-c2cccc3[nH]ccc23)c2c(N)ncnc21,5.337242168318426
CHEMBL1242758,IC50,nM,1400.0,IC50,uM,1.4,Nc1ncnc2c1c(-c1cccc3[nH]ccc13)nn2C1CCCC1,5.853871964321762
CHEMBL1242852,IC50,nM,179.0,IC50,uM,0.179,CC(C)n1nc(-c2ccc3c(ccn3C(=O)OC(C)(C)C)c2)c2c(N)ncnc21,6.747146969020107
CHEMBL1242853,IC50,nM,391.0,IC50,uM,0.391,CC(C)(C)OC(=O)n1ccc2cc(-c3nn(C4CCCC4)c4ncnc(N)c34)ccc21,6.407823242604133
CHEMBL1241490,IC50,nM,964.0,IC50,uM,0.964,CC(C)n1nc(-c2ccc3occc3c2)c2c(N)ncnc21,6.015922966097169
CHEMBL1241491,IC50,nM,575.0,IC50,uM,0.575,Nc1ncnc2c1c(-c1ccc3occc3c1)nn2C1CCCC1,6.2403321553103694
CHEMBL1241492,IC50,nM,8300.0,IC50,uM,8.3,CC(C)n1nc(-c2ccc3nonc3c2)c2c(N)ncnc21,5.080921907623926
CHEMBL1241586,IC50,nM,937.0,IC50,uM,0.937,CC(C)n1nc(-c2ccc3[nH]c(=O)[nH]c3c2)c2c(N)ncnc21,6.028260409112222
CHEMBL1241587,IC50,nM,5000.0,IC50,uM,5.0,CC(C)n1nc(-c2ccc3c(c2)CCO3)c2c(N)ncnc21,5.301029995663981
CHEMBL1241588,IC50,nM,15000.0,IC50,uM,15.0,CC(C)n1nc(-c2ccc3c(c2)OCCO3)c2c(N)ncnc21,4.823908740944319
CHEMBL1241684,IC50,nM,100000.0,IC50,uM,100.0,CC(C)n1nc(-c2cc3cc(C=O)ccc3s2)c2c(N)ncnc21,4.0
CHEMBL288441,IC50,nM,491.0,IC50,nM,491.0,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,6.308918507877031
CHEMBL1254199,IC50,nM,53100.0,IC50,uM,53.1,CN(c1cccc(Br)c1)c1nc(N)nc2[nH]c(Cc3ccccc3)cc12,4.274905478918531
CHEMBL1254286,IC50,nM,253600.0,IC50,uM,253.6,CN(c1cccc(Br)c1)c1nc(N)nc2c1cc(Cc1ccccc1)n2C,3.595850750790305
CHEMBL1254363,IC50,nM,31200.0,IC50,uM,31.2,Cc1ccccc1Cc1cc2c(N(C)c3cccc(Br)c3)nc(N)nc2[nH]1,4.505845405981558
CHEMBL1254364,IC50,nM,12800.0,IC50,uM,12.8,Cc1ccccc1Cc1cc2c(Nc3cccc(Br)c3)nc(N)nc2n1C,4.892790030352131
